Date,Open,High,Low,Close,Adj Close,Volume
2022-08-02,18.670000,19.180000,18.639999,19.030001,19.030001,5021100
2022-08-03,19.120001,19.420000,18.969999,19.230000,19.230000,5047800
2022-08-04,19.430000,20.280001,19.360001,20.209999,20.209999,8210500
2022-08-05,20.170000,20.379999,19.760000,19.910000,19.910000,4952900
2022-08-08,19.959999,20.200001,19.670000,20.070000,20.070000,5252800
2022-08-09,20.110001,20.320000,19.860001,20.000000,20.000000,3673700
2022-08-10,20.520000,21.049999,20.330000,21.010000,21.010000,5157000
2022-08-11,21.299999,21.370001,20.180000,20.309999,20.309999,6011400
2022-08-12,20.549999,21.100000,20.500000,21.040001,21.040001,7572200
2022-08-15,20.440001,21.330000,20.440001,21.080000,21.080000,5744300
2022-08-16,21.129999,21.320000,20.620001,21.000000,21.000000,5477700
2022-08-17,20.889999,21.440001,20.840000,21.270000,21.270000,6489300
2022-08-18,21.389999,21.760000,21.170000,21.250000,21.250000,6320100
2022-08-19,21.170000,21.190001,20.650000,20.830000,20.830000,6030100
2022-08-22,20.670000,20.719999,20.350000,20.459999,20.459999,4379400
2022-08-23,20.440001,20.740000,20.200001,20.629999,20.629999,4396700
2022-08-24,20.620001,21.120001,20.590000,20.860001,20.860001,3487200
2022-08-25,21.000000,21.070000,20.520000,20.770000,20.770000,3776300
2022-08-26,20.870001,20.969999,20.120001,20.309999,20.309999,4305200
2022-08-29,20.230000,21.120001,20.139999,20.670000,20.670000,4999100
2022-08-30,20.700001,20.809999,20.030001,20.150000,20.150000,6218500
2022-08-31,20.160000,20.309999,19.809999,19.980000,19.980000,9241500
2022-09-01,20.000000,20.070000,19.379999,19.670000,19.670000,10120600
2022-09-02,19.670000,19.900000,19.410000,19.690001,19.690001,8358200
2022-09-05,19.610001,20.070000,19.510000,19.559999,19.559999,4133000
2022-09-06,19.500000,19.590000,18.549999,18.830000,18.830000,10227800
2022-09-08,18.900000,19.030001,18.430000,18.570000,18.570000,9066400
2022-09-09,18.730000,19.120001,18.620001,18.879999,18.879999,5609700
2022-09-12,19.059999,19.320000,18.950001,19.170000,19.170000,5573100
2022-09-13,18.799999,19.040001,18.330000,18.469999,18.469999,7277300
2022-09-14,18.459999,18.820000,18.270000,18.690001,18.690001,5061600
2022-09-15,18.610001,18.650000,17.809999,17.820000,17.820000,12009200
2022-09-16,17.990000,18.120001,17.629999,17.900000,17.900000,14317300
2022-09-19,17.809999,18.350000,17.580000,18.250000,18.250000,7975300
2022-09-20,18.340000,18.580000,18.170000,18.480000,18.480000,8847400
2022-09-21,18.490000,18.590000,18.150000,18.340000,18.340000,8809000
2022-09-22,18.520000,19.410000,18.350000,19.150000,19.150000,9718900
2022-09-23,18.790001,18.790001,18.030001,18.250000,18.250000,9623700
2022-09-26,18.190001,18.240000,17.660000,17.709999,17.709999,5543300
2022-09-27,17.940001,18.080000,17.350000,17.450001,17.450001,8208900
2022-09-28,17.459999,17.500000,17.020000,17.219999,17.219999,8926900
2022-09-29,17.100000,17.190001,16.740000,17.049999,17.049999,8970500
2022-09-30,17.049999,17.530001,16.820000,17.379999,17.379999,9996100
2022-10-03,17.969999,18.600000,17.730000,18.450001,18.450001,10813900
2022-10-04,18.969999,19.180000,18.129999,18.270000,18.270000,5786600
2022-10-05,18.299999,18.400000,17.650000,17.900000,17.900000,10271900
2022-10-06,18.110001,18.379999,17.940001,18.240000,18.240000,8298500
2022-10-07,18.209999,18.270000,16.530001,16.650000,16.650000,53257600
2022-10-10,15.800000,16.480000,15.440000,15.400000,15.400000,92782500
